datetime,price,signal,proposal,proposal_reason,decision,decision_reason,qty,executed,equity,pnl,drawdown
2025-04-02 16:15:00+00:00,1.6288,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 16:30:00+00:00,1.62,buy,buy,trend_buy,buy,execute_trend_buy,100,False,0.0,0.0,0.0
2025-04-02 16:45:00+00:00,1.6,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 17:00:00+00:00,1.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 17:15:00+00:00,1.63,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 17:30:00+00:00,1.61,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 17:45:00+00:00,1.615,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 18:00:00+00:00,1.65,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 18:15:00+00:00,1.64,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 18:30:00+00:00,1.625,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 18:45:00+00:00,1.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 19:00:00+00:00,1.61,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 19:15:00+00:00,1.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 19:30:00+00:00,1.635,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 19:45:00+00:00,1.655,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-02 20:00:00+00:00,1.68,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 13:30:00+00:00,1.525,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-03 13:45:00+00:00,1.61,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 14:00:00+00:00,1.6308,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 14:15:00+00:00,1.6338,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 14:30:00+00:00,1.63,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 14:45:00+00:00,1.6494,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-04-03 15:00:00+00:00,1.6072,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-03 15:15:00+00:00,1.6199,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-03 15:30:00+00:00,1.64,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 15:45:00+00:00,1.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 16:00:00+00:00,1.605,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-04-03 16:15:00+00:00,1.575,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-03 16:30:00+00:00,1.56,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 16:45:00+00:00,1.53,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 17:00:00+00:00,1.53,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 17:15:00+00:00,1.525,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 17:30:00+00:00,1.53,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 17:45:00+00:00,1.53,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 18:00:00+00:00,1.55,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 18:15:00+00:00,1.525,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 18:30:00+00:00,1.55,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 18:45:00+00:00,1.545,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 19:00:00+00:00,1.59,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-04-03 19:15:00+00:00,1.565,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 19:30:00+00:00,1.57,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 19:45:00+00:00,1.58,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-03 20:00:00+00:00,1.585,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 13:30:00+00:00,1.79,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 13:45:00+00:00,1.7663,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 14:00:00+00:00,1.7376,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 14:15:00+00:00,1.75,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 14:30:00+00:00,1.76,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 14:45:00+00:00,1.725,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 15:00:00+00:00,1.7114,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 15:15:00+00:00,1.77,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 15:30:00+00:00,1.7401,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 15:45:00+00:00,1.68,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 16:00:00+00:00,1.65,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-04 16:15:00+00:00,1.64,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 16:30:00+00:00,1.7158,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 16:45:00+00:00,1.64,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 17:00:00+00:00,1.65,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 17:15:00+00:00,1.64,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 17:30:00+00:00,1.635,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-04-04 17:45:00+00:00,1.635,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 18:00:00+00:00,1.6501,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 18:15:00+00:00,1.63,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 18:30:00+00:00,1.59,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 18:45:00+00:00,1.56,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 19:00:00+00:00,1.52,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 19:15:00+00:00,1.53,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 19:30:00+00:00,1.52,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 19:45:00+00:00,1.33,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-04 20:00:00+00:00,1.49,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 13:30:00+00:00,1.38,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 13:45:00+00:00,1.281,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 14:00:00+00:00,1.42,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-04-07 14:15:00+00:00,1.56,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
